shade_name,color_family,finish,L_star,a_star,b_star,hue_deg,saturation,brightness,wax_pct,emollient_oil_pct,mattifying_agent_pct,film_former_pct,pigment_pct,additives_pct
Blossom Fudge,Nude,Glossy,63.37,5.49,10.79,63.03,18.16,59.44,2.74,78.32,0,11.65,4.38,2.91
Caramel Cloud,Orange,Matte,60.5,25.41,22.08,40.99,50.49,58.88,14.9,61.75,4.39,4.26,12.05,2.65
Pink Temptation,Nude,Glossy,62.29,5.85,8.64,55.9,15.65,61.87,4.65,79.4,0,11.24,3.06,1.65
Amber Aura,Brown,Matte,46.08,30.1,27.93,42.86,61.59,42.83,12.13,64.5,6.09,3.15,11.52,2.61
Crimson Glaze,Nude,Glossy,60.31,16.79,19.37,49.08,38.45,54.41,3.21,78.75,0,11.3,3.94,2.8
Ruby Dusk,Peach,Glossy,66.96,15.03,16.72,48.05,33.72,64.18,2.17,78.35,0,11.74,5.02,2.72
Berry Glow,Coral,Glossy,52.32,40.86,30.34,36.6,76.34,48.99,4.19,75.43,0,13.59,4.28,2.51
Blush Nectar,Nude,Glossy,60.14,14.04,16.82,50.15,32.86,55.94,2.96,79.48,0,10.86,4.21,2.49
Sienna Glow,Orange,Glasting,56.32,38.93,24.74,32.44,69.19,55.49,1.44,66.1,0,26.49,3.05,2.92
Rose Nectar,Berry,Satin,47.52,29.16,3.74,7.31,44.1,43.11,11.02,70.87,1.87,5.5,8.5,2.24
Blush Dream,Coral,Glossy,63.01,36.06,26.69,36.51,67.29,56.94,4.92,71.6,0,14.03,6.77,2.68
Nude Velvet,Pink,Glasting,62.04,20.98,3.17,8.59,31.83,59.01,1.64,65.65,0,27.19,3.46,2.06
Sangria Glow,Nude,Glossy,67.02,10.94,21.68,63.22,36.43,62.25,4.26,73.8,0,15.1,4.89,1.95
Maple Pop,Brown,Glossy,52.18,22.24,13.85,31.91,39.3,51.68,4.12,71.83,0,15.49,6.22,2.34
Maple Bare,Brown,Matte,51.94,17.9,17.72,44.71,37.78,48.97,15.87,63.97,5.95,3.73,8.67,1.81
Dusk Jam,Pink,Glasting,51.67,34.3,4.38,7.28,51.87,48.49,2.29,58.06,0,32.78,5.23,1.64
Amber Jam,Peach,Satin,67.66,11.22,13.9,51.09,26.79,66.59,10.4,72.98,0.79,6.36,7.07,2.4
Cappucino Glow,Brown,Satin,50.63,28.64,22.85,38.58,54.96,46.19,10.99,70.3,0.78,6.54,9.05,2.34
Crimson Velvet,Coral,Satin,59.05,26.46,35.1,52.99,65.93,53.17,9.42,72.58,1.8,7.35,7.33,1.52
Maroon Aura,Coral,Satin,61.23,38,41.56,47.56,84.47,59.19,11.25,70.62,1.94,7.5,6.47,2.22
Roast Aura,Red,Satin,46.91,34.19,28.23,39.55,66.51,43.06,8.47,73.77,1.41,7.2,6.82,2.33
Milk Tea,Pink,Glasting,64.88,35.84,9.97,15.55,55.8,58.71,2.55,61.81,0,30.27,3.33,2.04
Cappucino Radiance,Peach,Glossy,69.93,16.3,9.05,29.04,27.97,66.38,2.78,77.54,0,12.98,5.05,1.65
Peachy Charm,Berry,Satin,30.91,26.45,7.01,14.84,41.04,28.78,11.43,68.75,1.2,7.2,9.36,2.06
Peachy Brick,Berry,Glasting,44.42,30.96,9.99,17.88,48.8,41.88,1.83,64.71,0,27.77,3.97,1.72
Coral Dream,Pink,Glossy,50.32,26.07,2.47,5.41,39.28,48.1,2.78,74.88,0,13.47,6.74,2.13
Nude Mist,Brown,Matte,50.12,26.13,19.3,36.45,48.73,46.66,12.61,64.59,5.15,5.5,9.9,2.25
Berry Chiffon,Coral,Satin,57.31,42.65,34,38.56,81.82,55.74,10.12,71.49,1.53,6.88,7.03,2.95
Milk Tea Pop,Nude,Glasting,63.23,6.38,20.56,72.76,32.29,60.02,2.28,63.96,0,27.35,3.72,2.69
Blossom Kiss,Plum,Matte,44.07,36.34,-0.49,359.23,54.51,41.35,12.68,62.3,6.52,5.75,10.44,2.31
Crush Velvet,Brown,Satin,48.11,26.19,27.3,46.19,56.75,43.51,10.07,73.32,0.59,6.96,6.14,2.92
Crimson Bare,Nude,Glasting,58.68,17.16,19.74,49,39.23,55.64,2.34,60.92,0,29.3,4.68,2.76
Brick Mulberry,Nude,Matte,60.43,15.6,9.45,31.21,27.36,58.35,12.93,65.96,6.48,4.52,8.05,2.06
Silk Cloud,Pink,Matte,56.92,37.59,13.91,20.31,60.12,55.65,14.47,61.44,6.33,4.45,11.08,2.23
Tomato Breeze,Coral,Glasting,67.53,35.42,24.67,34.86,64.75,63.63,1.01,66.68,0,26.09,3.93,2.29
Honey Spell,Brown,Glossy,52.81,30.9,22.12,35.6,57,48.37,2.82,77.45,0,10.1,6.91,2.72
Dusk Pop,Nude,Glasting,70.9,6.72,17.95,69.48,28.75,70.21,2.35,57.89,0,33.28,4.82,1.66
Jazz Radiance,Berry,Matte,41.46,36.21,8.65,13.44,55.84,39.76,12.39,66.83,4.52,4.58,8.96,2.72
Toffee Divine,Coral,Matte,66.3,37.28,39.55,46.69,81.53,62.52,13.07,65.1,5.39,4.22,9.87,2.35
Cappucino Pop,Brown,Glasting,42.64,16.05,24.55,56.82,44,38.73,2.98,59.99,0,31.47,2.79,2.77
Espresso Dusk,Pink,Satin,58.15,30.32,10.78,19.57,48.27,55.61,10.11,72.66,1.79,4.33,9.04,2.07
Dusty Spell,Red,Glossy,43.69,50.33,28.92,29.88,87.07,42.66,3.66,81.3,0,10.06,3.22,1.76
Berry Temptation,Brown,Matte,57.22,31.59,17,28.29,53.81,54.67,14,61.07,5.52,4.7,11.92,2.79
Carnation Truffle,Nude,Matte,70.76,14.16,17.07,50.32,33.27,68.75,12.38,67.13,5.85,3.63,8.21,2.8
Espresso Rosewood,Brown,Satin,57.36,20,14.84,36.58,37.36,55.59,11.05,74.4,1.21,4.26,6.19,2.89
Jazz Mulberry,Pink,Satin,52.15,18.81,5.63,16.66,29.45,48.13,11.1,72.2,1.35,7.25,6.13,1.97
Plum Silk,Orange,Satin,62.01,44.39,28.02,32.26,78.74,60.65,11.35,69.67,1.38,6.49,9.01,2.1
Dusty Kiss,Red,Satin,40.63,38.75,34.01,41.27,77.34,39.31,7.81,75.49,0.74,6.92,6.96,2.08
Mahogany Spell,Coral,Glasting,67.7,25.2,35.38,54.54,65.16,63.99,2.79,60.3,0,32.04,3.16,1.71
Pecan Souffle,Orange,Glossy,62.92,32.38,40.32,51.23,77.57,62.44,4.97,73.17,0,13,5.9,2.96
Orange Nectar,Nude,Satin,61.96,16.85,19.51,49.18,38.67,58.11,7.71,73.94,1.16,5.19,9.35,2.65
Deep Berry Rosewood,Coral,Glossy,53.32,27.21,41.43,56.7,74.35,52.29,4.86,74.37,0,14.64,4.59,1.54
Espresso Bare,Red,Matte,38.58,46.48,19.26,22.51,75.47,37.76,13.09,62.01,7.47,4.07,10.45,2.91
Pink Kiss,Pink,Glasting,62.65,37.52,12.08,17.85,59.13,60.4,1.86,60.84,0,31.29,4.38,1.63
Dusty Nectar,Nude,Glossy,64.32,10.26,12.43,50.46,24.18,60.44,3.86,74.05,0,14.28,6.19,1.62
Sangria Crush,Orange,Satin,61.37,41.12,23.45,29.7,71,60.87,8.12,73.2,1.57,6.59,8.54,1.98
Chestnut Temptation,Orange,Satin,62.57,35.9,32.67,42.3,72.81,57.26,7.93,77.17,0.51,5.26,7.23,1.9
Sangria Spark,Brown,Glasting,40.2,29.87,14.26,25.52,49.65,35.44,1.27,64.15,0,29.59,2.66,2.33
Jazz Chiffon,Peach,Matte,61.54,6.49,17.39,69.53,27.84,58.87,13.63,66.83,4.09,3.28,9.77,2.4
Milk Tea Blaze,Pink,Matte,54.22,23.7,2.91,7,35.82,49.67,13.3,66.1,5.35,4.16,9.46,1.63
Crimson Truffle,Pink,Glossy,61.87,31.87,3.98,7.12,48.18,59.18,4.7,70.45,0,15.87,6.62,2.36
Plum Souffle,Terracotta,Glossy,52.82,25.89,16.43,32.4,45.99,49.34,2.51,80.19,0,10.83,4.52,1.95
Maroon Charm,Mauve,Satin,58.33,25.17,5.97,13.34,38.8,55.72,9.47,74.5,0.59,5.47,7.74,2.23
